ngram	w1	w2	w3
dilatih_dengan_datang	dilatih	dengan	datang
dengan_datang_tepat	dengan	datang	tepat
datang_tepat_waktu	datang	tepat	waktu
ketika_petugas_datang	ketika	petugas	datang
petugas_datang_misal-nya	petugas	datang	misal-nya
datang_misal-nya_dengan	datang	misal-nya	dengan
air_PKPU_datang	air	PKPU	datang
yang_akan_datang	yang	akan	datang
akan_datang_begitu	akan	datang	begitu
datang_begitu_cetus	datang	begitu	cetus
tentara-tentara_Allah_datang	tentara-tentara	Allah	datang
lain_yang_datang	lain	yang	datang
yang_datang_secara	yang	datang	secara
datang_secara_pribadi	datang	secara	pribadi
ledakan_itu_datang	ledakan	itu	datang
itu_datang_dari	itu	datang	dari
datang_dari_pesawat	datang	dari	pesawat
Yonif_Kabaresi_datang	Yonif	Kabaresi	datang
Kabaresi_datang_kepada	Kabaresi	datang	kepada
datang_kepada_masyarakat	datang	kepada	masyarakat
Apabila_datang_kepadamu	Apabila	datang	kepadamu
